sid,raiders,flanker,condition,run
0031133,5ebad93e0238a90022336ab9,5ecdd32cc7568602122d830c,5ecdd32baeeb6d020708a68b,5ecdd32baeeb6d020708a68d
0031130,5ebada1a9f8962002a4d3350,5ecdd7bb17ac9e022562947f,5ecdd7bb17ac9e022562947b,5ecdd7bb17ac9e0222627c2d
0031126,5ebadad20238a900233373ee,5ecdd2e0c75686021a2daf14,5ecdd2e1c75686021a2daf18,5ecdd2e0aeeb6d0212087cae
0031125,5ebadb77ec5a98003523f83c,5ecdd6c5aeeb6d020708b2dc,5ecdd6c217ac9e0222627af9,5ecdd6c3aeeb6d020808d103
0031122,5ebadd25ec5a98003423f3da,5ecdd2e5aeeb6d0211086bb4,5ecdd2e1aeeb6d020808cc01,5ecdd2e1aeeb6d0212087cb2
0031127,5ebaddd59f896200224d5e69,5ecdd2e517ac9e0222627668,5ecdd2e3c75686021a2daf21,5ecdd2e2c7568602122d82b3
0031132,5ebadea50238a9002c336fc6,5ecdd2e817ac9e022262766c,5ecdd2e5c7568602122d82bb,5ecdd2e4c7568602112d6dc2
0031124,5ebae28bec5a98002c23f886,5ecdd2eaaeeb6d0212087cd5,5ecdd2e8aeeb6d0212087cc9,5ecdd2e7c75686021a2daf31
0031129,5ebae40b0238a9002d3384c9,5ecdd2ef17ac9e0225628d23,5ecdd2ed17ac9e022162674d,5ecdd2edc75686021a2daf4a
0031131,5ebd55c9ec5a9800eb2402c7,5ecdd2edaeeb6d020708a62c,5ecdd2eac7568602192d83ea,5ecdd2eaaeeb6d0212087cd0
0031121,5ebd57990238a900e13397af,5ecdd2f0c75686021a2daf5f,5ecdd2ee17ac9e022662be76,5ecdd2ecaeeb6d0212087cde
0031128,5ebd58839f896200d14d6176,5ece6ae9aeeb6d0246085115,5ece6ae9c7568602522d3f12,5ece6ae9aeeb6d0246085106
0031123,5ebd59c4ec5a9800eb240b51,5ecdd2e917ac9e0221626742,5ecdd2e8c75686021a2daf38,5ecdd2e5c7568602192d83d8
