Img	Duration[ms]	Stimtype
flanker_right_congruent.bmp	1250	congruent
flanker_left_neutral.bmp	1250	neutral
flanker_right_neutral.bmp	1250	neutral
flanker_right_neutral.bmp	1250	neutral
flanker_nostim.bmp	1450	nostim
flanker_left_nogo.bmp	1250	no-go
flanker_left_congruent.bmp	1250	congruent
flanker_nostim.bmp	1450	nostim
flanker_right_congruent.bmp	1250	congruent
flanker_left_nogo.bmp	1250	no-go
flanker_right_nogo.bmp	1250	no-go
flanker_nostim.bmp	2900	nostim
flanker_right_nogo.bmp	1250	no-go
flanker_nostim.bmp	1450	nostim
flanker_right_neutral.bmp	1250	neutral
flanker_nostim.bmp	1450	nostim
flanker_right_neutral.bmp	1250	neutral
flanker_nostim.bmp	1450	nostim
flanker_left_congruent.bmp	1250	congruent
flanker_right_congruent.bmp	1250	congruent
flanker_nostim.bmp	1450	nostim
flanker_right_neutral.bmp	1250	neutral
flanker_left_incongruent.bmp	1250	incongruent
flanker_left_incongruent.bmp	1250	incongruent
flanker_right_neutral.bmp	1250	neutral
flanker_left_neutral.bmp	1250	neutral
flanker_left_incongruent.bmp	1250	incongruent
flanker_left_incongruent.bmp	1250	incongruent
flanker_left_nogo.bmp	1250	no-go
flanker_right_incongruent.bmp	1250	incongruent
flanker_right_congruent.bmp	1250	congruent
flanker_nostim.bmp	7250	nostim
flanker_right_neutral.bmp	1250	neutral
flanker_left_incongruent.bmp	1250	incongruent
flanker_right_incongruent.bmp	1250	incongruent
flanker_nostim.bmp	2900	nostim
flanker_left_congruent.bmp	1250	congruent
flanker_right_neutral.bmp	1250	neutral
flanker_left_congruent.bmp	1250	congruent
flanker_right_congruent.bmp	1250	congruent
flanker_left_nogo.bmp	1250	no-go
flanker_left_incongruent.bmp	1250	incongruent
flanker_right_incongruent.bmp	1250	incongruent
flanker_left_nogo.bmp	1250	no-go
flanker_nostim.bmp	1450	nostim
flanker_left_nogo.bmp	1250	no-go
flanker_left_nogo.bmp	1250	no-go
flanker_right_congruent.bmp	1250	congruent
flanker_nostim.bmp	2900	nostim
flanker_right_neutral.bmp	1250	neutral
flanker_nostim.bmp	1450	nostim
flanker_right_incongruent.bmp	1250	incongruent
flanker_nostim.bmp	1450	nostim
flanker_right_incongruent.bmp	1250	incongruent
flanker_right_nogo.bmp	1250	no-go
flanker_nostim.bmp	2900	nostim
flanker_right_neutral.bmp	1250	neutral
flanker_right_incongruent.bmp	1250	incongruent
flanker_nostim.bmp	1450	nostim
flanker_left_nogo.bmp	1250	no-go
flanker_right_neutral.bmp	1250	neutral
flanker_right_nogo.bmp	1250	no-go
flanker_nostim.bmp	1450	nostim
flanker_left_incongruent.bmp	1250	incongruent
flanker_right_congruent.bmp	1250	congruent
flanker_left_nogo.bmp	1250	no-go
flanker_nostim.bmp	1450	nostim
flanker_right_neutral.bmp	1250	neutral
flanker_nostim.bmp	1450	nostim
flanker_right_congruent.bmp	1250	congruent
flanker_right_incongruent.bmp	1250	incongruent
flanker_nostim.bmp	1450	nostim
flanker_right_nogo.bmp	1250	no-go
flanker_nostim.bmp	1450	nostim
flanker_left_incongruent.bmp	1250	incongruent
flanker_nostim.bmp	2900	nostim
flanker_left_congruent.bmp	1250	congruent
flanker_right_nogo.bmp	1250	no-go
flanker_nostim.bmp	1450	nostim
flanker_right_congruent.bmp	1250	congruent
flanker_left_incongruent.bmp	1250	incongruent
flanker_right_nogo.bmp	1250	no-go
flanker_right_congruent.bmp	1250	congruent
flanker_left_neutral.bmp	1250	neutral
flanker_left_incongruent.bmp	1250	incongruent
flanker_nostim.bmp	2900	nostim
flanker_left_nogo.bmp	1250	no-go
flanker_left_nogo.bmp	1250	no-go
flanker_nostim.bmp	1450	nostim
flanker_left_neutral.bmp	1250	neutral
flanker_left_nogo.bmp	1250	no-go
flanker_left_congruent.bmp	1250	congruent
flanker_right_neutral.bmp	1250	neutral
flanker_nostim.bmp	1450	nostim
flanker_left_incongruent.bmp	1250	incongruent
flanker_nostim.bmp	1450	nostim
